file,exists,total_params,trainable_params,error
left_wall_dist_arch1.pt,True,139,139,
left_wall_dist_arch2.pt,True,285,285,
left_wall_dist_arch3.pt,True,34405,34405,
left_wall_dist_arch4.pt,True,68741,68741,
left_wall_dist_arch5.pt,True,137777,137777,
left_wall_dist_arch6.pt,True,275393,275393,
left_wall_dist_arch7.pt,True,550753,550753,
track_width_arch1.pt,True,139,139,
track_width_arch2.pt,True,285,285,
track_width_arch3.pt,True,34405,34405,
track_width_arch4.pt,True,68741,68741,
track_width_arch5.pt,True,137777,137777,
track_width_arch6.pt,True,275393,275393,
track_width_arch7.pt,True,550753,550753,
heading_error_arch1.pt,True,139,139,
heading_error_arch2.pt,True,285,285,
heading_error_arch3.pt,True,34405,34405,
heading_error_arch4.pt,True,68741,68741,
heading_error_arch5.pt,True,137777,137777,
heading_error_arch6.pt,True,275393,275393,
heading_error_arch7.pt,True,550753,550753,
