file,rmse,exists,total_params,trainable_params,error,arch
left_wall_dist_arch1.pt,0.10238333333333334,True,139,139,,1
left_wall_dist_arch2.pt,0.09851666666666666,True,285,285,,2
left_wall_dist_arch3.pt,0.1073,True,34405,34405,,3
left_wall_dist_arch4.pt,0.12366666666666665,True,68741,68741,,4
left_wall_dist_arch5.pt,0.12468333333333331,True,137777,137777,,5
left_wall_dist_arch6.pt,0.12406666666666666,True,275393,275393,,6
left_wall_dist_arch7.pt,0.12411666666666665,True,550753,550753,,7
track_width_arch1.pt,0.10238333333333334,True,139,139,,1
track_width_arch2.pt,0.09851666666666666,True,285,285,,2
track_width_arch3.pt,0.1073,True,34405,34405,,3
track_width_arch4.pt,0.12366666666666665,True,68741,68741,,4
track_width_arch5.pt,0.12468333333333331,True,137777,137777,,5
track_width_arch6.pt,0.12406666666666666,True,275393,275393,,6
track_width_arch7.pt,0.12411666666666665,True,550753,550753,,7
heading_error_arch1.pt,0.10238333333333334,True,139,139,,1
heading_error_arch2.pt,0.09851666666666666,True,285,285,,2
heading_error_arch3.pt,0.1073,True,34405,34405,,3
heading_error_arch4.pt,0.12366666666666665,True,68741,68741,,4
heading_error_arch5.pt,0.12468333333333331,True,137777,137777,,5
heading_error_arch6.pt,0.12406666666666666,True,275393,275393,,6
heading_error_arch7.pt,0.12411666666666665,True,550753,550753,,7
